YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2023,Yemen,Protests,Peaceful protest,"14,326","45,216",52,0
2023,Yemen,Protests,Peaceful protest,"14,5395","44,3063",178,0
2023,Yemen,Protests,Peaceful protest,"14,651","46,62",41,0
2023,Yemen,Protests,Peaceful protest,"14,657","43,6874",83,0
2023,Yemen,Protests,Peaceful protest,"14,7791","43,2181",187,0
2023,Yemen,Protests,Peaceful protest,"15,3084","43,4994",64,0
2023,Yemen,Protests,Peaceful protest,"15,3329","45,4523",138,0
2023,Yemen,Protests,Peaceful protest,"15,3931","44,4753",141,0
2023,Yemen,Protests,Peaceful protest,"15,4201","44,1919",176,0
2023,Yemen,Protests,Peaceful protest,"16,0944","43,2039",311,0
2023,Yemen,Protests,Peaceful protest,"16,1156","43,9414",46,0
2023,Yemen,Protests,Peaceful protest,"16,5288","48,6269",74,0
2023,Yemen,Protests,Peaceful protest,"16,5962","45,5989",35,0
2023,Yemen,Protests,Peaceful protest,"17,0575","51,8238",12,0
2023,Yemen,Protests,Peaceful protest,"17,0883","44,0424",94,0
2023,Yemen,Protests,Protest with intervention,"12,8058","44,788",1,0
2023,Yemen,Protests,Protest with intervention,"13,3204","44,7623",2,0
2023,Yemen,Protests,Protest with intervention,"13,6274","46,228",2,0
2023,Yemen,Protests,Protest with intervention,"14,0881","44,175",1,0
2023,Yemen,Protests,Protest with intervention,"14,326","45,216",1,0
2023,Yemen,Protests,Protest with intervention,"14,5395","44,3063",2,0
2023,Yemen,Protests,Protest with intervention,"14,7791","43,2181",1,0
2023,Yemen,Protests,Protest with intervention,"15,4201","44,1919",3,0
2023,Yemen,Protests,Protest with intervention,"16,0944","43,2039",1,0
2023,Yemen,Protests,Protest with intervention,"16,1156","43,9414",1,0
2023,Yemen,Protests,Protest with intervention,"16,5288","48,6269",1,0
2023,Yemen,Protests,Protest with intervention,"17,0883","44,0424",1,0
2023,Yemen,Riots,Mob violence,"12,8058","44,788",6,11
2023,Yemen,Riots,Mob violence,"13,3204","44,7623",1,0
2023,Yemen,Riots,Mob violence,"13,8943","44,7825",1,0
2023,Yemen,Riots,Mob violence,"14,326","45,216",1,1
2023,Yemen,Riots,Mob violence,"14,651","46,62",1,2
2023,Yemen,Riots,Mob violence,"15,3329","45,4523",1,0
2023,Yemen,Riots,Mob violence,"16,5288","48,6269",1,0
2023,Yemen,Riots,Mob violence,"17,0883","44,0424",2,0
2023,Yemen,Riots,Violent demonstration,"12,8058","44,788",30,2
2023,Yemen,Riots,Violent demonstration,"13,2949","43,7855",1,0
2023,Yemen,Riots,Violent demonstration,"13,3204","44,7623",5,0
2023,Yemen,Riots,Violent demonstration,"13,6274","46,228",2,0
2023,Yemen,Riots,Violent demonstration,"14,651","46,62",4,1
2023,Yemen,Riots,Violent demonstration,"16,5288","48,6269",8,0
2023,Yemen,Strategic developments,Agreement,"14,651","46,62",3,0
2023,Yemen,Strategic developments,Agreement,"15,4201","44,1919",2,0
2023,Yemen,Strategic developments,Agreement,"17,0883","44,0424",1,0
2023,Yemen,Strategic developments,Arrests,"12,5081","53,893",1,0
2023,Yemen,Strategic developments,Arrests,"12,8058","44,788",12,0
2023,Yemen,Strategic developments,Arrests,"13,2949","43,7855",6,0
2023,Yemen,Strategic developments,Arrests,"13,3204","44,7623",7,0
2023,Yemen,Strategic developments,Arrests,"13,6274","46,228",7,0
2023,Yemen,Strategic developments,Arrests,"13,8943","44,7825",2,0
2023,Yemen,Strategic developments,Arrests,"14,0881","44,175",3,0
2023,Yemen,Strategic developments,Arrests,"14,326","45,216",1,0
2023,Yemen,Strategic developments,Arrests,"14,5395","44,3063",3,0
2023,Yemen,Strategic developments,Arrests,"14,651","46,62",4,0
2023,Yemen,Strategic developments,Arrests,"14,7791","43,2181",3,0
2023,Yemen,Strategic developments,Arrests,"15,3329","45,4523",10,0
2023,Yemen,Strategic developments,Arrests,"15,3931","44,4753",1,0
2023,Yemen,Strategic developments,Arrests,"15,4201","44,1919",4,0
2023,Yemen,Strategic developments,Arrests,"16,0944","43,2039",1,0
2023,Yemen,Strategic developments,Arrests,"16,1156","43,9414",1,0
2023,Yemen,Strategic developments,Arrests,"16,5288","48,6269",3,0
2023,Yemen,Strategic developments,Arrests,"16,5962","45,5989",1,0
2023,Yemen,Strategic developments,Arrests,"17,0575","51,8238",1,0
2023,Yemen,Strategic developments,Arrests,"17,0883","44,0424",1,0
2023,Yemen,Strategic developments,Change to group/activity,"12,4081","48,278",1,0
2023,Yemen,Strategic developments,Change to group/activity,"12,5081","53,893",7,0
2023,Yemen,Strategic developments,Change to group/activity,"12,613","43,3362",1,0
2023,Yemen,Strategic developments,Change to group/activity,"12,8058","44,788",49,0
2023,Yemen,Strategic developments,Change to group/activity,"13,2949","43,7855",17,0
2023,Yemen,Strategic developments,Change to group/activity,"13,3204","44,7623",7,0
2023,Yemen,Strategic developments,Change to group/activity,"13,6274","46,228",25,0
2023,Yemen,Strategic developments,Change to group/activity,"13,8943","44,7825",13,0
2023,Yemen,Strategic developments,Change to group/activity,"14,0881","44,175",6,0
2023,Yemen,Strategic developments,Change to group/activity,"14,326","45,216",1,0
2023,Yemen,Strategic developments,Change to group/activity,"14,651","46,62",29,0
2023,Yemen,Strategic developments,Change to group/activity,"14,7791","43,2181",14,0
2023,Yemen,Strategic developments,Change to group/activity,"15,3084","43,4994",1,0
2023,Yemen,Strategic developments,Change to group/activity,"15,3329","45,4523",33,0
2023,Yemen,Strategic developments,Change to group/activity,"15,4201","44,1919",6,0
2023,Yemen,Strategic developments,Change to group/activity,"15,5791","40,9906",1,0
2023,Yemen,Strategic developments,Change to group/activity,"16,0944","43,2039",2,0
2023,Yemen,Strategic developments,Change to group/activity,"16,5288","48,6269",21,0
2023,Yemen,Strategic developments,Change to group/activity,"16,5962","45,5989",14,0
2023,Yemen,Strategic developments,Change to group/activity,"17,0575","51,8238",3,0
2023,Yemen,Strategic developments,Change to group/activity,"17,0883","44,0424",1,0
2023,Yemen,Strategic developments,Disrupted weapons use,"12,613","43,3362",7,0
2023,Yemen,Strategic developments,Disrupted weapons use,"12,8058","44,788",9,0
2023,Yemen,Strategic developments,Disrupted weapons use,"13,2949","43,7855",8,1
2023,Yemen,Strategic developments,Disrupted weapons use,"13,3204","44,7623",11,0
2023,Yemen,Strategic developments,Disrupted weapons use,"13,6274","46,228",15,0
